acapproject	eligible	date	day	month	year	pplid	pplname	latitude	longitude	distid	distname	provid	provname	altitude	population	logpop	logelev	langcode	language	pashto	neighbors	cdcfamilies	cdcprojects	cdcpercapita	killed	wounded	combined	killeddum	woundeddum	property	incidenttype	airstrike	cfmilop	crossfire	milop	sb	ied	accident	eof	indirect	cfindirect	isafinit	isafresp	talibresp	pre7a	preied7a	post7a	postied7a	preisaf7a	diff7a	diffied7a	pre7b	preied7b	post7b	postied7b	diff7b	diffied7b	pre7c	preied7c	post7c	postied7c	diff7c	diffied7c	pre30a	preied30a	post30a	postied30a	preisaf30a	diff30a	diffied30a	pre30b	preied30b	post30b	postied30b	diff30b	diffied30b	pre30c	preied30c	post30c	postied30c	diff30c	diffied30c	pre90a	preied90a	post90a	postied90a	preisaf90a	diff90a	diffied90a	pre90b	preied90b	post90b	postied90b	diff90b	diffied90b	pre90c	preied90c	post90c	postied90c	diff90c	diffied90c	pre180a	preied180a	post180a	postied180a	preisaf180a	diff180a	diffied180a	pre180b	preied180b	post180b	postied180b	diff180b	diffied180b	pre180c	preied180c	post180c	postied180c	diff180c	diffied180c	pre365a	preied365a	post365a	postied365a	preisaf365a	diff365a	diffied365a	pre365b	preied365b	post365b	postied365b	diff365b	diffied365b	pre365c	preied365c	post365c	postied365c	diff365c	diffied365c	pre730a	preied730a	post730a	postied730a	preisaf730a	diff730a	diffied730a	pre730b	preied730b	post730b	postied730b	diff730b	diffied730b	pre730c	preied730c	post730c	postied730c	diff730c	diffied730c	kabul	pakistan	dcdistkm	basedistkm	km3bases	km5bases	km10bases	fightingseason	dateofincident	incidentmonth	incidentday	incidentyear	rightcensor730sigact	rightcensor730immap	rightcensor365immap	dum2011	dum2012	dum2013	qtr42011	qtr12012	qtr22012	qtr32012	qtr42012	qtr12013	qtr22013	qtr32013	valueia	beneficiaries	aidamount	casualties	totalharm	logneighbors	logdisttobase	logdcdistkm	logroadkm	logaidamount	logcdcpercapita	logbeneficiaries	logvalueia	pre7aplacebo	preisaf7aplacebo	preied7aplacebo	post7aplacebo	postied7aplacebo	diff7aplacebo	pre90aplacebo	preisaf90aplacebo	preied90aplacebo	post90aplacebo	postied90aplacebo	diff90aplacebo	pre180aplacebo	preisaf180aplacebo	preied180aplacebo	post180aplacebo	postied180aplacebo	diff180aplacebo	pre365aplacebo	preisaf365aplacebo	preied365aplacebo	post365aplacebo	postied365placebo	diff365aplacebo	pqtr42008	pqtr12009	pqtr22009	pqtr32009	pqtr42009	pqtr12010	pqtr22010	pqtr32010	incidentlocationrc	rc	north	south	southwest	west	kunar	helmand	kandahar	khost	logar	east	pre7aid	preisaf7aid	preied7aid	post7aid	postied7aid	pre90aid	preisaf90aid	preied90aid	post90aid	postied90aid	pre180aid	preisaf180aid	preied180aid	post180aid	postied180aid	pre365aid	preisaf365aid	preied365aid	post365aid	postied365aid	pre7bid	preied7bid	post7bid	postied7bid	pre90bid	preied90bid	post90bid	postied90bid	pre180bid	preied180bid	post180bid	postied180bid	pre365bid	preied365bid	post365bid	postied365bid	pre7cid	preied7cid	post7cid	postied7cid	pre90cid	preied90cid	post90cid	postied90cid	pre180cid	preied180cid	post180cid	postied180cid	pre365cid	preied365cid	post365cid	postied365cid	timesaid	pre7bplacebo	preisaf7bplacebo	preied7bplacebo	post7bplacebo	postied7bplacebo	pre90bplacebo	preisaf90bplacebo3	preied90bplacebo	post90bplacebo	postied90bplacebo	pre180bplacebo	preisaf180bplacebo	preied180bplacebo	post180bplacebo	postied180bplacebo3	pre365bplacebo	preisaf365bplacebo	preied365bplacebo	post365bplacebo	postied365bplacebo	pre7cplacebo	preisaf7cplacebo	preied7cplacebo	post7cplacebo	postied7cplacebo	pre90cplacebo	preisaf90cplacebo	preied90cplacebo	post90cplacebo	postied90cplacebo	pre180cplacebo	preied180cplacebo	pre365cplacebo	preied365cplacebo
1	1	"6/5/12"	5	6	2012	22515	"NOW BOR"	35.491	63.359	1906	"Bala Murghab"	19	"Badghis"	661	583	6.368187	6.493754	2	"Pashto"	1	8	0	0	0.0	8	11	19	1	1	0	"Airstrike"	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	1	-3	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	2	0	1	-11	0	0	0	2	1	2	1	0	0	0	0	0	0	29	3	8	2	1	-21	-1	4	1	3	1	-1	0	0	0	0	0	0	0	42	6	10	2	1	-32	-4	5	1	0	1	-5	0	0	0	0	0	0	0	0	0	13.01	12396	0	0	0	1	"5/7/12"	5	7	2012	0	1	0	0	1	0	0	0	1	0	0	0	0	0	400.0	41	16400.0	2.9449651	2.944439	2.0806909	9.42513	2.5664866	3.9924965	9.705037	-4.6051702	3.713572	5.9914646	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	1	0	0	0	0	0	"West"	5.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0	0	0	0	5	0	0	3	0	18	0	0	3	0	28	0	3	8	2	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	"1/13/13"	13	1	2013	2441	"AZIZAN"	35.0526	63.2788	1907	"Muqur"	19	"Badghis"	957	338	5.823046	6.863803	2	"Pashto"	1	14	0	0	0.0	1	0	1	1	0	0	"CF Military Operation"	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	-1	0	1	0	0	0	-1	0	0	0	0	0	0	0	1	0	0	0	0	-1	0	1	0	0	0	-1	0	0	0	0	0	0	0	1	0	3	1	0	2	1	1	0	0	0	-1	0	0	0	0	0	0	0	2	0	7	1	0	5	1	1	0	1	0	0	0	1	1	0	0	-1	-1	9	1	12	1	0	3	0	2	0	1	0	-1	0	1	1	0	0	-1	-1	21	3	18	1	0	-3	-2	2	0	0	0	-2	0	1	1	0	0	-1	-1	0	0	2.281	3811	0	2	2	0	"11/10/12"	11	10	2012	0	1	0	0	1	0	0	0	0	0	1	0	0	0	370.98	7	2596.86	0.0099503305	0.0	2.6397715	8.245649	0.8289884	-4.6051702	7.862062	-4.6051702	1.9459101	5.916148	0	0	0	0	0	0.0	1	0	0	1	0	0.0	1	0	0	4	0	3.0	1	0	0	7	0	6.0	0	0	0	0	1	0	0	0	"West"	5.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	1	0	0	1	0	4	0	0	5	1	12	0	1	12	1	0	0	0	0	0	0	1	0	1	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	"1/13/13"	13	1	2013	26757	"RASHID KHAN"	35.5026	63.3748	1906	"Bala Murghab"	19	"Badghis"	522	234	5.455321	6.257668	2	"Pashto"	1	8	0	0	0.0	0	8	8	0	1	1	"IED"	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	6	1	2	1	5	0	3	-1	0	0	0	0	0	0	1	0	7	1	0	6	1	2	1	5	0	3	-1	0	0	0	0	0	0	4	0	11	1	1	7	1	3	1	11	0	8	-1	0	0	0	0	0	0	14	2	15	1	1	1	-1	11	2	0	0	-11	-2	0	0	0	0	0	0	0	0	12.144	11740	0	0	0	0	"9/24/12"	9	24	2012	0	1	0	0	1	0	0	0	0	1	0	0	0	0	370.98	61	22629.78	2.0806909	2.1972246	2.0806909	9.370758	2.4976583	3.9924965	10.027022	-4.6051702	4.1108737	5.916148	0	0	0	0	0	0.0	1	0	0	0	0	-1.0	1	0	0	0	0	-1.0	1	0	0	3	0	2.0	0	0	0	0	1	0	0	0	"West"	5.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	3	0	0	0	0	4	1	0	2	0	7	1	0	8	1	0	0	0	0	0	0	2	1	0	0	3	1	4	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	6	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1	"5/9/13"	9	5	2013	22155	"NOOR KHAIL ABDUL WAHAB"	35.0397	63.2892	1907	"Muqur"	19	"Badghis"	1005	599	6.395262	6.912743	2	"Pashto"	1	13	150	1	300.0	0	1	1	0	1	0	"CF Military Operation"	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	-1	0	0	0	0	0	0	0	3	1	9	1	0	6	0	1	0	0	0	-1	0	0	0	0	0	0	0	6	1	19	2	0	13	1	2	0	0	0	-2	0	0	0	0	0	0	0	10	1	26	3	0	16	2	3	0	2	0	-1	0	1	1	0	0	-1	-1	27	6	38	3	0	11	-3	3	0	0	0	-3	0	1	1	0	0	-1	-1	0	0	0.27	5824	0	0	2	1	"10/10/12"	10	10	2012	0	1	0	0	1	0	0	0	0	0	1	0	0	0	366.0	12	4392.0	0.0099503305	0.0	2.5657182	8.6697445	-1.2729657	-4.6051702	8.387543	5.703816	2.4849067	5.902633	0	0	0	1	0	1.0	0	0	0	2	0	2.0	0	0	0	4	1	4.0	0	0	0	7	1	7.0	0	0	0	1	0	0	0	0	"West"	5.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	1	0	2	0	0	2	0	4	0	0	7	1	12	0	1	25	3	0	0	0	0	0	0	0	0	1	0	1	0	1	0	2	0	0	0	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	3	0	0	5	0	3	0	0	5	0	4	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	1	"6/10/13"	10	6	2013	37982	"ABLA-I-MIRANZA'I"	35.0477	63.296	1907	"Muqur"	19	"Badghis"	929	0	7.083388	6.834109	1	"Dari"	0	0	0	0	0.0	1	1	2	1	1	1	"IED"	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	11	2	0	9	2	1	0	0	0	-1	0	0	0	0	0	0	0	8	1	17	2	0	9	1	2	0	0	0	-2	0	0	0	0	0	0	0	11	1	23	3	0	12	2	2	0	2	0	0	0	1	1	0	0	-1	-1	26	5	32	3	0	6	-2	3	0	0	0	-3	0	1	1	0	0	-1	-1	0	0	1.22	5194	0	0	2	1	"2/14/13"	2	14	2013	1	1	0	0	0	1	0	0	0	0	0	1	0	0	398.12	6	2388.72	0.6981347	1.0986123	-4.6051702	8.555262	0.20701419	-4.6051702	7.7785172	-4.6051702	1.7917595	5.9867535	0	0	0	0	0	0.0	3	0	1	2	0	-1.0	5	0	1	3	0	-2.0	6	0	1	8	1	2.0	0	0	0	0	0	0	1	0	"West"	5.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	3	0	0	2	0	6	0	0	12	1	9	0	1	21	2	0	0	0	0	1	0	1	0	1	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	1	"6/10/13"	10	6	2013	15503	"KHAL ZARDAK"	35.0502	63.3538	1907	"Muqur"	19	"Badghis"	1031	1181	7.074117	6.938284	2	"Pashto"	1	3	0	0	0.0	1	0	1	1	0	1	"IED"	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	-4	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.443	4517	0	2	2	1	"4/16/13"	4	16	2013	1	1	0	0	0	1	0	0	0	0	0	0	1	0	398.12	12	4777.44	0.0099503305	0.6931472	1.10194	8.415606	0.37363034	-4.6051702	8.4716625	-4.6051702	2.4849067	5.9867535	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	1	0	0	0	0	0	0	"West"	5.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	1	"8/21/13"	21	8	2013	35395	"QALA-E-NAW"	34.9874	63.1275	1901	"Qala-I- Naw"	19	"Badghis"	962	9000	9.10498	6.869014	1	"Dari"	0	14	0	0	0.0	0	1	1	0	1	0	"CF Military Operation"	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	-2	-1	0	0	0	0	0	0	0	0	0	0	0	0	6	2	2	0	0	-4	-2	1	0	1	0	0	0	0	0	1	0	1	0	6	2	4	0	0	-2	-2	2	0	1	0	-1	0	0	0	1	0	1	0	10	3	10	0	0	0	-3	4	0	3	0	-1	0	0	0	1	0	1	0	20	5	17	1	0	-3	-4	5	0	0	0	-5	0	1	1	1	0	0	-1	0	0	2.697	3027	0	1	1	1	"4/25/13"	4	25	2013	1	1	0	0	0	1	0	0	0	0	0	0	1	0	391.0	8	3128.0	0.0099503305	0.0	2.6397715	8.01533	0.995841	4.128102	8.048152	-4.6051702	2.0794415	5.9687076	0	0	0	0	0	0.0	2	0	0	2	1	0.0	4	0	0	3	2	-1.0	10	0	0	8	3	-2.0	0	0	0	0	0	0	1	0	"West"	5.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	4	1	2	0	0	6	2	8	0	2	11	2	0	0	0	0	1	0	1	0	3	0	2	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	4	0	1	1	0	5	0	1	1	0	5	0	1	4	1	0	0	0	0	0	0	0	0	0	0	1	0	4	0
8	1	"7/21/13"	21	7	2013	34275	"YOMAL"	36.8087	71.0694	1125	"Warduj"	11	"Badakhshan"	2171	667	6.50279	7.682943	1	"Dari"	0	6	0	0	0.0	2	0	2	1	0	1	"Airstrike"	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	-4	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	3	0	1	-3	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	11	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	18	0	1	9	0	2	0	0	0	-2	0	0	0	0	0	0	0	0	0	14.167	15136	0	0	0	1	"6/10/13"	6	10	2013	1	1	1	0	0	1	0	0	0	0	0	0	1	0	384.56	1	384.56	0.6981347	1.0986123	1.7934247	9.624832	2.6516209	-4.6051702	5.952126	-4.6051702	0.0	5.9521	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	1	0	0	0	0	0	0	0	"North"	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0	0	0	0	4	1	0	1	0	5	1	0	4	0	8	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	4	1	1	0	0	5	1	0	0	0	0	0	2	0	0	1	0	3	0	3	0
9	1	"10/6/12"	6	10	2012	35092	"BAGHLAN-E-JADID"	36.1221	68.6861	1311	"Baghlani Jadid"	13	"Baghlan"	657	56200	10.93667	6.487684	2	"Pashto"	1	14	0	0	0.0	1	0	1	1	0	0	"Accident"	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	2	1	0	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	3	1	0	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	13	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	11	2	23	5	0	12	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.204	10214	0	0	0	0	"9/23/12"	9	23	2012	0	1	0	0	1	0	0	0	0	1	0	0	0	0	387.0	20	7740.0	0.0099503305	0.0	2.6397715	9.231516	0.7948008	4.302442	8.954158	-4.6051702	2.9957323	5.9584246	0	0	0	0	0	0.0	4	0	1	0	0	-4.0	5	0	1	0	0	-5.0	5	0	1	0	0	-5.0	0	0	0	0	1	0	0	0	"North"	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	0	0	0	5	0	1	2	1	5	0	1	3	1	10	0	2	12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
10	1	"11/26/12"	26	11	2012	9518	"GARDAB MUGHUL"	36.3294	68.841	1311	"Baghlani Jadid"	13	"Baghlan"	569	411	6.018593	6.343881	2	"Pashto"	1	19	0	0	0.0	0	4	4	0	1	0	"Accident"	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	0	0	1	-1	0	0	1	1	1	1	0	0	0	0	0	0	4	1	9	2	0	5	1	0	0	1	1	1	1	0	0	0	0	0	0	5	1	26	4	0	21	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	24.247	23415	0	0	0	0	"11/3/12"	11	3	2012	0	1	0	0	1	0	0	0	0	0	1	0	0	0	388.0	25	9700.0	1.3887912	1.3862944	2.9449651	10.061132	3.1887052	4.302442	9.179882	-4.6051702	3.218876	5.961005	0	0	0	0	0	0.0	0	0	0	1	0	1.0	1	0	0	1	0	0.0	3	0	0	6	0	3.0	0	0	0	0	0	0	1	0	"North"	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	1	0	0	2	1	1	0	0	4	1	3	0	0	10	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
